Gene ID	Gene Symbol	Genome	Species	Gene Name	Functional Descriptions	function-related-keywords	literature	Related News	NCBI ID	UniProt accessions	Orthologs	CDS Sequence	Protein Sequence	Title
Solyc02g069260	AGO2a		Triticum aestivum		['AGO2a but not AGO2b mediates antiviral defense against infection of wild-type cucumber mosaic virus in tomato.', 'Our findings firstly reveal a prominent role of AGO2a in antiviral RNAi innate immunity in tomato and demonstrate that antiviral RNAi evolves to defend against infection of natural wild-type CMV-Fny in tomato.', 'AGO2a-mediated antiviral RNAi does not play major roles in promoting tolerance of tomato plants to CMV infection for maintaining health.', 'Thus, these variations of expression pattern between AGO2a and AGO2b are well consistent with their distinct functions in antiviral RNAi in tomato, and probably underlie their roles in antiviral defense in tomato.']	['antiviral-immunity', 'defense', 'tolerance', 'immunity', 'innate-immunity', 'virus']	['AGO2a but not AGO2b mediates antiviral defense against infection of wild-type cucumber mosaic virus in tomato.', '10.1093/hr/uhad043', '37188058']	[]			[]	CDS Sequence:	Protein Sequence:	AGO2a
TraesCS5A02G542800	ALI-1	Chinese_Spring1.0	Triticum aestivum		['Natural variations in the promoter of Awn Length Inhibitor 1 (ALI-1) are associated with awn elongation and grain length in common wheat.', 'ALI-1 was observed to increase grain length in wheat, which is a valuable attribute of awn on grain weight, aside from photosynthesis.', 'ALI-1 negatively regulates awn elongation through restraining cytokinin-mediated cell proliferation.', 'Pleiotropic effects of ALI-1 on awn and grain development.', 'ALI-1 represses cytokinin-mediated cell proliferation in awn.']	['development', 'grain', 'grain-length', 'awn', 'photosynthesis', 'cytokinin', 'cell-elongation', 'grain-weight', 'cell-proliferation']	['Natural variations in the promoter of Awn Length Inhibitor 1 (ALI-1) are associated with awn elongation and grain length in common wheat.', '10.1111/tpj.14575', '31628879']	[]		A0A3B6KUA9		CDS Sequence:	Protein Sequence:	ALI-1
	ALMT1-1		Triticum aestivum		['Here, we report on the cloning of a wheat gene, ALMT1,that co-segregates with Al tolerance in F2 and F3 populations derived from crosses between near-isogenic wheat lines that differ in Al tolerance.', 'The ALMT1 gene encodes a membrane protein, which is constitutively expressed in the root apices of the Al-tolerant line at greater levels than in the near-isogenic but Al-sensitive line.', 'ALMT1 increased the tolerance of tobacco cells to Al treatment. These findings demonstrate that ALMT1 encodes an Al-activated malate transporter that is capable of conferring Al tolerance to plant cells.', 'Taken together, these results indicate that both ALMT1-1 and ALMT1-2 genes encode Al-activated transporters that facilitate malate efflux from tobacco cells, and that the expression of both ALMT1 genes increases Al tolerance by decreasing the accumulation of Al in cells.']	['root', 'tolerance', 'transporter', 'al-tolerance', 'protein']	['A wheat gene encoding an aluminum-activated malate transporter.', '10.1111/j.1365-313x.2003.01991.x', '14871306']	[]	AB081803		[]	CDS Sequence:	Protein Sequence:	ALMT1-1
	ALMT1-2		Triticum aestivum		['Here, we report on the cloning of a wheat gene, ALMT1,that co-segregates with Al tolerance in F2 and F3 populations derived from crosses between near-isogenic wheat lines that differ in Al tolerance.', 'The ALMT1 gene encodes a membrane protein, which is constitutively expressed in the root apices of the Al-tolerant line at greater levels than in the near-isogenic but Al-sensitive line.', 'ALMT1 increased the tolerance of tobacco cells to Al treatment. These findings demonstrate that ALMT1 encodes an Al-activated malate transporter that is capable of conferring Al tolerance to plant cells.', 'Taken together, these results indicate that both ALMT1-1 and ALMT1-2 genes encode Al-activated transporters that facilitate malate efflux from tobacco cells, and that the expression of both ALMT1 genes increases Al tolerance by decreasing the accumulation of Al in cells.']	['root', 'tolerance', 'transporter', 'al-tolerance', 'protein']	['A wheat gene encoding an aluminum-activated malate transporter.', '10.1111/j.1365-313x.2003.01991.x', '14871306']	[]	AB081804		[]	CDS Sequence:	Protein Sequence:	ALMT1-2
TraesCS4A02G284000	BGC1-A	Chinese_Spring1.0	Triticum aestivum		['A carbohydrate-binding protein, B-GRANULE CONTENT 1, influences starch granule size distribution in a dose-dependent manner in polyploid wheat.', 'It is likely that the production of B-granule-less starch involves a delicate balance between the amount of BGC1 and that of one or more of its interacting partners.', 'A gene encoding a PTST-family protein is a strong candidate for BGC1.', 'We uncovered a more complex biological role for BGC1 in starch granule initiation:BGC1 represses the initiation of A-granules in early grain development but promotes the initiation of B-granules in mid grain development.']	['development', 'grain', 'grain-size', 'starch', 'grain-protein-content', 'grain-protein']	['A carbohydrate-binding protein, B-GRANULE CONTENT 1, influences starch granule size distribution in a dose-dependent manner in polyploid wheat.', '10.1093/jxb/erz405', '31633795']	[]		A0A3B6I196		CDS Sequence:	Protein Sequence:	BGC1-A
TraesCS4B02G029700	BGC1-B	Chinese_Spring1.0	Triticum aestivum		['A carbohydrate-binding protein, B-GRANULE CONTENT 1, influences starch granule size distribution in a dose-dependent manner in polyploid wheat.', 'It is likely that the production of B-granule-less starch involves a delicate balance between the amount of BGC1 and that of one or more of its interacting partners.', 'A gene encoding a PTST-family protein is a strong candidate for BGC1.', 'We uncovered a more complex biological role for BGC1 in starch granule initiation:BGC1 represses the initiation of A-granules in early grain development but promotes the initiation of B-granules in mid grain development.']	['development', 'grain', 'grain-size', 'starch', 'grain-protein-content', 'grain-protein']	['A carbohydrate-binding protein, B-GRANULE CONTENT 1, influences starch granule size distribution in a dose-dependent manner in polyploid wheat.', '10.1093/jxb/erz405', '31633795']	[]		A0A3B6IKX7		CDS Sequence:	Protein Sequence:	BGC1-B
TraesCS4D02G026700	BGC1-D	Chinese_Spring1.0	Triticum aestivum		['A carbohydrate-binding protein, B-GRANULE CONTENT 1, influences starch granule size distribution in a dose-dependent manner in polyploid wheat.', 'It is likely that the production of B-granule-less starch involves a delicate balance between the amount of BGC1 and that of one or more of its interacting partners.', 'A gene encoding a PTST-family protein is a strong candidate for BGC1.', 'We uncovered a more complex biological role for BGC1 in starch granule initiation:BGC1 represses the initiation of A-granules in early grain development but promotes the initiation of B-granules in mid grain development.']	['development', 'grain', 'grain-size', 'starch', 'grain-protein-content', 'grain-protein']	['A carbohydrate-binding protein, B-GRANULE CONTENT 1, influences starch granule size distribution in a dose-dependent manner in polyploid wheat.', '10.1093/jxb/erz405', '31633795']	[]		A0A3B6JF56		CDS Sequence:	Protein Sequence:	BGC1-D
TraesCS7B02G475400	Bot-B5b	Chinese_Spring1.0	Triticum aestivum		['Heterologous expression in Saccharomyces cerevisiae indicated that Bot-B5b is able to function as a boron transporter.', 'Here we describe the identification of near-identical, root-specific boron transporter genes underlying the two major-effect quantitative trait loci for boron tolerance in wheat, Bo1 and Bo4.', 'Analysis of neighbouring genes on 7BL in current bread wheat cultivars indicates conservation of the tetraploid-derived segment, presenting a barrier to recombination and the exploitation of agronomically important loci linked to Bo1, such as resistance to late-maturity α-amylase.']	['root', 'resistance', 'tolerance', 'transporter', 'boron-transporter', 'boron', 'recombination']	['Molecular basis of adaptation to high soil boron in wheat landraces and elite cultivars.', '10.1038/nature13538', '25043042']	[]	KF148625	A0A067ZUK4		CDS Sequence:	Protein Sequence:	Bot-B5b;Bo1
TraesCS7D02G724400LC	Bot-D5a	Chinese_Spring1.0	Triticum aestivum		['Heterologous expression in Saccharomyces cerevisiae indicated that Bot-B5b is able to function as a boron transporter.', 'Here we describe the identification of near-identical, root-specific boron transporter genes underlying the two major-effect quantitative trait loci for boron tolerance in wheat, Bo1 and Bo4.', 'Analysis of neighbouring genes on 7BL in current bread wheat cultivars indicates conservation of the tetraploid-derived segment, presenting a barrier to recombination and the exploitation of agronomically important loci linked to Bo1, such as resistance to late-maturity α-amylase.']	['root', 'resistance', 'tolerance', 'transporter', 'boron-transporter', 'boron', 'recombination']	['Molecular basis of adaptation to high soil boron in wheat landraces and elite cultivars.', '10.1038/nature13538', '25043042']	[]		A0A067ZWN0		CDS Sequence:	Protein Sequence:	Bot-D5a;Bo4
TraesCS5A02G311600	CBF-A12	Chinese_Spring1.0	Triticum aestivum		['Copy number variations of CBF genes at the Fr-A2 locus are essential components of winter hardiness in wheat', 'Copy number variation (CNV) of CBF (C-repeat Binding Factor) genes at the Fr-A2 locus is the essential component for winter survival, with CBF-A14 CNV being the most likely causal polymorphism, accounting for 24.3% of the genotypic variance.', 'CBF genes at the Fr-A2 locus are essential components of winter hardiness in wheat.']	['winter-hardiness']	['Copy number variations of CBF genes at the Fr-A2 locus are essential components of winter hardiness in wheat.', '10.1111/tpj.13424', '27859852']	[]		W8W3U5		CDS Sequence:	Protein Sequence:	CBF-A12
